Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CashbackPerOrder,CouponPerOrder,AppHoursPerDevice,IsNewCustomer,OrdersPerMonth,CashbackPerMonth,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn
9.0,3,16.0,2.0,3,1,2,14.0,8.0,9.0,7.0,200,22.22222222222222,0.8888888888888888,0.6666666666666666,0,0.9,20.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
6.0,3,13.0,1.0,3,4,1,17.0,0.0,1.0,2.0,143,143.0,0.0,0.3333333333333333,0,0.14285714285714285,20.428571428571427,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
8.0,1,15.0,3.0,4,4,10,19.0,0.0,1.0,0.0,165,165.0,0.0,0.75,0,0.1111111111111111,18.333333333333332,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
15.0,3,11.0,3.0,3,4,10,19.0,7.0,7.0,7.0,184,26.285714285714285,1.0,1.0,0,0.4375,11.5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
12.0,1,13.0,4.0,5,3,4,12.0,3.0,8.0,8.0,178,22.25,0.375,0.8,0,0.6153846153846154,13.692307692307692,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
24.0,1,9.0,2.0,3,3,3,11.0,2.0,2.0,3.0,231,115.5,1.0,0.6666666666666666,0,0.08,9.24,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1.0,1,23.0,3.0,3,5,2,12.0,0.0,1.0,8.0,146,146.0,0.0,1.0,1,0.5,73.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9.0,3,7.0,4.0,4,3,3,17.0,1.0,2.0,4.0,174,87.0,0.5,1.0,0,0.2,17.4,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
15.0,2,8.0,3.0,1,5,8,16.0,0.0,1.0,3.0,163,163.0,0.0,3.0,0,0.0625,10.1875,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
11.0,1,8.0,2.0,3,1,6,11.0,0.0,1.0,2.0,139,139.0,0.0,0.6666666666666666,0,0.08333333333333333,11.583333333333334,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
25.0,3,21.0,3.0,4,2,6,12.0,1.0,2.0,8.0,174,87.0,0.5,0.75,0,0.07692307692307693,6.6923076923076925,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1.0,1,17.0,3.0,5,3,3,21.0,2.0,3.0,3.0,151,50.333333333333336,0.6666666666666666,0.6,1,1.5,75.5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
28.0,1,12.0,3.0,4,5,6,15.0,2.0,2.0,3.0,319,159.5,1.0,0.75,0,0.06896551724137931,11.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
9.0,3,6.0,4.0,4,5,3,23.0,1.0,2.0,3.0,216,108.0,0.5,1.0,0,0.2,21.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
2.0,3,9.0,3.0,3,3,2,14.0,0.0,1.0,2.0,156,156.0,0.0,1.0,1,0.3333333333333333,52.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2.0,1,34.0,3.0,4,5,2,14.0,0.0,1.0,4.0,138,138.0,0.0,0.75,1,0.3333333333333333,46.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20.0,1,29.0,3.0,3,1,2,12.0,7.0,15.0,6.0,203,13.533333333333333,0.4666666666666667,1.0,0,0.7142857142857143,9.666666666666666,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
13.0,3,10.0,3.0,4,1,8,11.0,1.0,2.0,11.0,209,104.5,0.5,0.75,0,0.14285714285714285,14.928571428571429,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
19.0,2,11.0,3.0,6,3,6,22.0,2.0,2.0,3.0,223,111.5,1.0,0.5,0,0.1,11.15,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1.0,3,10.0,4.0,4,5,3,19.0,2.0,2.0,4.0,167,83.5,1.0,1.0,1,1.0,83.5,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
8.0,1,10.0,4.0,4,4,3,13.0,8.0,8.0,10.0,179,22.375,1.0,1.0,0,0.8888888888888888,19.88888888888889,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
23.0,3,14.0,2.0,3,4,8,15.0,0.0,2.0,2.0,139,69.5,0.0,0.6666666666666666,0,0.08333333333333333,5.791666666666667,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1.0,3,35.0,4.0,6,5,10,19.0,2.0,3.0,3.0,175,58.333333333333336,0.6666666666666666,0.6666666666666666,1,1.5,87.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
7.0,3,7.0,3.0,2,5,3,23.0,1.0,2.0,9.0,165,82.5,0.5,1.5,0,0.25,20.625,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1.0,3,16.0,3.0,3,4,2,22.0,0.0,1.0,0.0,111,111.0,0.0,1.0,1,0.5,55.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
23.0,1,23.0,2.0,4,5,6,15.0,1.0,2.0,11.0,233,116.5,0.5,0.5,0,0.08333333333333333,9.708333333333334,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
8.0,1,7.0,3.0,5,4,7,18.0,2.0,2.0,3.0,158,79.0,1.0,0.6,0,0.2222222222222222,17.555555555555557,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1.0,2,14.0,3.0,4,1,2,13.0,1.0,1.0,4.0,149,149.0,1.0,0.75,1,0.5,74.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2.0,3,33.0,3.0,5,5,3,12.0,2.0,2.0,5.0,172,86.0,1.0,0.6,1,0.6666666666666666,57.333333333333336,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
7.0,3,14.0,2.0,3,3,2,18.0,1.0,1.0,6.0,126,126.0,1.0,0.6666666666666666,0,0.125,15.75,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
7.0,2,9.0,2.0,3,2,1,19.0,1.0,1.0,2.0,137,137.0,1.0,0.6666666666666666,0,0.125,17.125,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0.0,1,6.0,3.0,5,2,4,14.0,2.0,2.0,0.0,144,72.0,1.0,0.6,1,2.0,144.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1.0,3,22.0,3.0,6,1,8,15.0,1.0,3.0,3.0,179,59.666666666666664,0.3333333333333333,0.5,1,1.5,89.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
8.0,3,8.0,3.0,5,4,3,16.0,1.0,1.0,11.0,288,288.0,1.0,0.6,0,0.1111111111111111,32.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
18.0,1,35.0,2.0,3,1,5,18.0,1.0,1.0,2.0,194,194.0,1.0,0.6666666666666666,0,0.05263157894736842,10.210526315789474,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0.0,3,11.0,3.0,4,3,1,18.0,0.0,1.0,0.0,130,130.0,0.0,0.75,1,1.0,130.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
20.0,1,25.0,3.0,4,3,4,15.0,2.0,2.0,9.0,173,86.5,1.0,0.75,0,0.09523809523809523,8.238095238095237,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
24.0,1,35.0,4.0,3,3,3,12.0,4.0,4.0,9.0,157,39.25,1.0,1.3333333333333333,0,0.16,6.28,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2.0,3,26.0,2.0,3,2,3,14.0,1.0,1.0,2.0,169,169.0,1.0,0.6666666666666666,1,0.3333333333333333,56.333333333333336,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1.0,1,31.0,3.0,4,4,3,18.0,1.0,2.0,1.0,149,74.5,0.5,0.75,1,1.0,74.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
7.0,1,35.0,2.0,3,3,5,13.0,5.0,7.0,7.0,154,22.0,0.7142857142857143,0.6666666666666666,0,0.875,19.25,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9.0,2,30.0,2.0,3,4,2,16.0,0.0,1.0,4.0,122,122.0,0.0,0.6666666666666666,0,0.1,12.2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6.0,1,6.0,2.0,1,4,2,13.0,1.0,1.0,2.0,155,155.0,1.0,2.0,0,0.14285714285714285,22.142857142857142,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1.0,1,15.0,4.0,4,3,3,13.0,1.0,2.0,1.0,144,72.0,0.5,1.0,1,1.0,72.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
9.0,2,33.0,3.0,4,1,3,17.0,2.0,2.0,3.0,213,106.5,1.0,0.75,0,0.2,21.3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
8.0,1,14.0,2.0,3,3,2,12.0,0.0,2.0,9.0,141,70.5,0.0,0.6666666666666666,0,0.2222222222222222,15.666666666666666,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
19.0,1,27.0,4.0,6,5,4,19.0,2.0,2.0,8.0,234,117.0,1.0,0.6666666666666666,0,0.1,11.7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
16.0,3,12.0,4.0,4,4,11,20.0,8.0,8.0,3.0,209,26.125,1.0,1.0,0,0.47058823529411764,12.294117647058824,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
22.0,1,9.0,2.0,4,5,5,25.0,1.0,1.0,2.0,148,148.0,1.0,0.5,0,0.043478260869565216,6.434782608695652,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
12.0,1,7.0,3.0,4,5,5,18.0,2.0,2.0,1.0,151,75.5,1.0,0.75,0,0.15384615384615385,11.615384615384615,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
8.0,3,35.0,4.0,5,3,3,22.0,2.0,2.0,8.0,192,96.0,1.0,0.8,0,0.2222222222222222,21.333333333333332,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
8.0,2,32.0,2.0,3,1,2,16.0,1.0,1.0,7.0,188,188.0,1.0,0.6666666666666666,0,0.1111111111111111,20.88888888888889,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
5.0,3,35.0,4.0,5,1,3,15.0,3.0,6.0,8.0,180,30.0,0.5,0.8,0,1.0,30.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0.0,1,14.0,2.0,4,4,2,19.0,2.0,4.0,3.0,124,31.0,0.5,0.5,1,4.0,124.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
9.0,1,14.0,3.0,2,5,10,14.0,0.0,1.0,3.0,217,217.0,0.0,1.5,0,0.1,21.7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
